Thu Feb  4 00:20:53 2016 Program started.
Thu Feb  4 00:52:19 2016 Found hammer @ x: 1184  y: 433
Thu Feb  4 00:52:25 2016 Found coin @ x: 405  y: 173
Thu Feb  4 00:52:27 2016 Found coin @ x: 405  y: 173
Thu Feb  4 00:52:33 2016 Found moon @ x: 1195  y: 424
Thu Feb  4 00:52:44 2016 make kohl @ x: 512  y: 306
Thu Feb  4 00:52:49 2016 Found coin @ x: 873  y: 95
Thu Feb  4 00:52:59 2016 Found coin @ x: 717  y: 173
Thu Feb  4 00:53:26 2016 Found coin @ x: 301  y: 225
Thu Feb  4 00:53:28 2016 Found coin @ x: 301  y: 225
Thu Feb  4 00:53:38 2016 Found coin @ x: 613  y: 225
Thu Feb  4 00:53:40 2016 Found coin @ x: 613  y: 225
Thu Feb  4 00:54:04 2016 Found coin @ x: 613  y: 59
Thu Feb  4 00:54:05 2016 Found coin @ x: 613  y: 69
Thu Feb  4 00:54:15 2016 Found coin @ x: 197  y: 277
Thu Feb  4 00:54:43 2016 Found coin @ x: 396  y: 319
Thu Feb  4 00:54:55 2016 Found coin @ x: 509  y: 121
Thu Feb  4 00:54:58 2016 Found coin @ x: 509  y: 277
Thu Feb  4 00:55:22 2016 Found coin @ x: 292  y: 371
Thu Feb  4 00:55:25 2016 Found coin @ x: 292  y: 371
Thu Feb  4 00:55:53 2016 Found coin @ x: 93  y: 329
Thu Feb  4 00:55:55 2016 Found hammer @ x: 718  y: 277
Thu Feb  4 00:56:05 2016 Found coin @ x: 717  y: 485
Thu Feb  4 00:56:08 2016 Found hammer @ x: 956  y: 383
Thu Feb  4 00:56:10 2016 Found moon @ x: 729  y: 268
Thu Feb  4 00:56:14 2016 make horn @ x: 512  y: 310
Thu Feb  4 00:56:27 2016 Found moon @ x: 967  y: 374
Thu Feb  4 00:56:35 2016 make pot @ x: 509  y: 309
Thu Feb  4 00:56:41 2016 Found coin @ x: 821  y: 537
Thu Feb  4 00:56:44 2016 Found hammer @ x: 1008  y: 565
Thu Feb  4 00:56:51 2016 Found coin @ x: 197  y: 433
Thu Feb  4 00:57:05 2016 Found coin @ x: 665  y: 615
Thu Feb  4 00:57:08 2016 Found coin @ x: 665  y: 615
Thu Feb  4 00:57:15 2016 Found moon @ x: 1019  y: 556
Thu Feb  4 00:57:23 2016 make pot @ x: 509  y: 309
Thu Feb  4 00:57:39 2016 Found coin @ x: 405  y: 173
Thu Feb  4 00:57:41 2016 Found coin @ x: 405  y: 173
Thu Feb  4 00:57:54 2016 Found coin @ x: 873  y: 95
Thu Feb  4 00:57:57 2016 Found hammer @ x: 1184  y: 433
Thu Feb  4 00:58:06 2016 Found coin @ x: 717  y: 173
Thu Feb  4 00:58:12 2016 Found moon @ x: 1195  y: 424
Thu Feb  4 00:58:24 2016 make kohl @ x: 512  y: 306
Thu Feb  4 00:58:44 2016 Found coin @ x: 301  y: 225
Thu Feb  4 00:58:53 2016 Found coin @ x: 613  y: 225
Thu Feb  4 00:59:20 2016 Found coin @ x: 613  y: 69
Thu Feb  4 00:59:34 2016 Found coin @ x: 197  y: 277
Thu Feb  4 01:00:15 2016 Found coin @ x: 509  y: 121
Thu Feb  4 01:00:29 2016 Found coin @ x: 509  y: 277
Thu Feb  4 01:01:11 2016 Found coin @ x: 93  y: 329
Thu Feb  4 01:01:14 2016 Found coin @ x: 93  y: 329
Thu Feb  4 01:01:24 2016 Found coin @ x: 717  y: 485
Thu Feb  4 01:01:27 2016 Found coin @ x: 717  y: 485
Thu Feb  4 01:01:29 2016 Found hammer @ x: 718  y: 277
Thu Feb  4 01:01:51 2016 Found coin @ x: 821  y: 537
Thu Feb  4 01:01:54 2016 Found coin @ x: 821  y: 537
Thu Feb  4 01:01:56 2016 Found hammer @ x: 956  y: 383
Thu Feb  4 01:02:03 2016 Found coin @ x: 197  y: 433
Thu Feb  4 01:02:06 2016 Found coin @ x: 197  y: 433
Thu Feb  4 01:02:12 2016 Found moon @ x: 967  y: 374
Thu Feb  4 01:02:19 2016 make pot @ x: 509  y: 309
Thu Feb  4 01:02:37 2016 Found coin @ x: 665  y: 615
Thu Feb  4 01:02:40 2016 Found coin @ x: 665  y: 615
Thu Feb  4 01:02:44 2016 Found hammer @ x: 1008  y: 565
Thu Feb  4 01:02:46 2016 Found moon @ x: 729  y: 268
Thu Feb  4 01:02:50 2016 make horn @ x: 512  y: 310
